lat	lon	title	description	icon	iconSize	iconOffset
28.0597749	-82.4165451		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0592295	-82.4171064		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0603278	-82.4148663		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0625903	-82.4106025		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0641512	-82.4125927		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0642488	-82.4125855		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0629536	-82.4096973		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0628197	-82.409697		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609549	-82.4125109		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609549	-82.4126482		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0617483	-82.4112023		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609471	-82.4088075		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0618165	-82.4112881		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0618695	-82.4112881		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0617483	-82.4112881		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609793	-82.413402		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0611199	-82.4086425		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0618166	-82.4086339		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0616976	-82.4086476		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0609478	-82.4086417		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0610252	-82.4086425		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0637752	-82.4160019		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0638509	-82.4160378		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591891	-82.4171562		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0591891	-82.4170616		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0602151	-82.4170851		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0601347	-82.4170851		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0625927	-82.4104993		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0643955	-82.4119999		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0624186	-82.4115834		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0600899	-82.4056306		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599459	-82.4052443		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0598615	-82.4049978		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599978	-82.4049205		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0596797	-82.4019336		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0602402	-82.4055642		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0629632	-82.4083059		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0597031	-82.4028440		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0597031	-82.4026638		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0598618	-82.4028523		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0598622	-82.4026294		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0598849	-82.4019428		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0611289	-82.4069509		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0611329	-82.4070292		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0602273	-82.4049251		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0610159	-82.4081336		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.062975	-82.4080994		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0627833	-82.408381		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0627218	-82.4082603		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0624283	-82.4079982		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590759	-82.4196616		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0583696	-82.4153378		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0573409	-82.4134697		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.057347	-82.41506		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571349	-82.413455		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0579833	-82.4159441		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0578621	-82.4159956		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0589982	-82.4176008		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590663	-82.4176180		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0581505	-82.4176278		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0581353	-82.4166837		wheelchair node	/images/barrier-free.png	28,34	-8,-8
